"Course (UG/PG)","Subject Area ","Catalog Number","Offering Unit/Department","Course Title","Course Description","Discipline Specific (Up to 5) - the dropdown list changes based on the Offering Unit/Department selection.","SMU Graduate Learning Outcomes","Grading Basis (e.g. Graded or Pass/Fail)","Course Attributes","Requisites"
"Postgraduate","ACCT","716","SOA GPBF","Firm Growth Management Research","This course takes the growth of Chinese firms as research background, case study as main research method, combine with Ladder Theory and Dynamic Capability theory, aims to help participants to better understand the theories and practices on the strategy and management of rapid growth companies, especially in China context. At the same time, stimulate student’s interest in management research, cultivate rigorous academic attitude.","-","-","GRD - Graded","AREA - DBA (A&F) Elective","No"
"Postgraduate","ACCT","717","SOA GPBF","Business Strategy Research","The course \""Business Strategy Research\"" focuses on the concept, development process and analysis paradigm of strategy. By introducing to students the evolution and changes of strategic environment, organization, resources and competitive advantages in the new context, the course aims to help students totally understand the position of DBA project, teaches students to examine the development problems of enterprises from a strategic perspective, and learn to extract scientific research questions from management practices, and help them understand the basic logic and principles of scientific research, thus to build up a scientific research thinking.","-","-","GRD - Graded","AREA - DBA (A&F) Elective","No"
"Postgraduate","ACCT","718","SOA GPBF","Merger Acquisition and Restructuring","Merger acquisition and restructuring are an important branch of modern corporate finance. It is based on the actual corporate capital operation as the starting point to study various mergers and acquisitions and reorganizations of companies in the capital market (mergers and acquisitions, absorption merger, tender offers, private placements, leveraged buyouts, LBOs, divestitures, share repurchases, company divisions, Spin-off, introduction of VC/PE, establishment of equity incentives, company reorganization and bankruptcy, debt restructuring, debt-to-equity swaps, etc.), discuss the motivations, operating mechanisms and effects of various corporate merger acquisition and restructuring.
This course is a DBA project course. Through course learning, students should master the principles and different methods of corporate mergers acquisitions and reorganization, understand the reasons and characteristics of Western and Chinese corporate mergers and acquisitions, and be able to use professional knowledge to research and analyze merger acquisition and reorganization cases to achieve : 1. The level of analysis and planning of corporate mergers and acquisitions and restructuring of financial advisory work; 2. As a business manager should have the ability to make capital operation decision-making and implementation.","-","-","GRD - Graded","AREA - DBA (A&F) Core","No"
"Postgraduate","ACCT","719","SOA GPBF","Data-Driven Investment and Financial Decisions","This course introduces a blend of theory and practice of data-driven corporate investment and financial decision-making. The objective is to inculcate an understanding of the elements of strategic financial management and to build proficiency in the application to real world problems. Participants will be provided with a rigorous introduction to the foundations of business finance in competitive financial markets. The course is designed to equip managers and leaders with the basic tools that are necessary for managing a firm in a dynamic global financial environment, particularly in the era of artificial intelligence and big data. Emphasis will be placed on both practices and research on arriving at optimal decision strategies that will maximize the value of the firm.","-","-","GRD - Graded","AREA - DBA (A&F) Core","No"
"Postgraduate","ACCT","720","SOA GPAC","Research Topics in Accounting","This is a 1.0 credit unit (CU) course designed to introduce you to various accounting research topics. The objective of this course is to provide an overview on current research topics and to develop an understanding of research design commonly used. The topics covered in the course include the following, organized by instructor.","-","-","GRD - Graded","AREA - PhD Accounting Foundation","No"
"Postgraduate","ACCT","721","SOA GPBF","Research Design and Methods","Research methods is the science of collecting data, analyzing data to convert information to useful knowledge. The research methods course is intended to provide students with some tools for doing research both qualitatively and quantitatively. The methods of research that will be demonstrated in this course can be used in your dissertation (though the methods used in your dissertation do not have to be from this course). 

In this course you will start to study research methods prior to embarking on your dissertation. This course will introduce you to commonly used research methods in your chosen field of research. The course will be taught by a set of SMU faculty from a wide range of research areas. This will help students to learn about different research areas and methods. 

Each professor will focus on his/her area of expertise , review a few representative studies from the research area or provide an overview of studies and findings in the research area, and discuss the research approaches or methods in the studies. Topics that will be covered in this course can include the formulation of the research question,  the development of hypotheses, the collection of data, the analysis of the data, and the interpretation of analysis results. The research methods can include, but are not limited to, interviews, surveys and questionnaires, case studies, and econometric analyses.","-","-","GRD - Graded","AREA - DBA (A&F) Foundation","No"
"Postgraduate","ACCT","722","SOA GPBF","Enterprise Risk Management","Risk management is important to every organization. This course will:
1.	Introduce enterprise risk management theories
2.	Learn the fundamental framework of enterprise risk management 
3.	Discuss the application of risk management in real situation and share the experience of risk management 
4.	Improve the understanding and sensibility of the risk management research area","-","-","GRD - Graded","AREA - DBA (A&F) Core","No"
"Postgraduate","ACCT","723","SOA GPBF","Academic Writing Workshop","This course will first systematically introduce the basic types and research processes of social science research. And then, the course will focus on quantitative research dissertation to conduct classroom lectures and interactive discussions on five topics: the basic structure of a dissertation, how to identify and raise an interesting research question, how to write a coherent literature review, how to ground hypotheses or building the arguments, and how to craft a discussion sector to successfully engage the literature. Finally, research topics from representative students will be taken as cases to share and discuss, and comments and suggestions will be given to help students push forward their research.","-","-","GRD - Graded","AREA - Not Applicable","No"
"Postgraduate","ACCT","724","SOA GPBF","Financial Statements and the New Economy","Against the backdrop of a global economic restructuring and accelerating iteration of technological paradigms, the new economy has become the core engine driving global growth and reshaping value. Only by truly understanding the new economy can we seize the opportunities of the future. This course is specially designed for DBA students. Starting from the theory of value relevance, it aims to explore the intricate relationships among business models, technological innovation, and financial statements in new-economy enterprises—particularly science-and-tech-driven firms. Building on a range of off-balance-sheet items such as generalised intangible assets, this course will focus on teaching the logic behind value creation in new-economy enterprises (science-and-tech-driven firms) and their corresponding value assessment frameworks. By doing so, it seeks to empower entrepreneurial students to make more forward-looking investment, financing, and strategic decisions in an increasingly complex and dynamic market environment.","-","-","GRD - Graded","AREA - DBA (A&F) Core","No"
"Undergraduate","ACM","001","SOSS","The Arts and the Production of Culture in Everyday Life","Today, the arts and culture saturate almost every aspect of our everyday lives, providing a powerful lens through which we come to understand our selves, others and the spaces around us. 

This course seeks to provide a reflexive understanding to the role, significance and impact of the arts and culture in our everyday lives, with a focus on the contexts and conditions of cultural production, and their wider symbolic and socio-cultural meanings. Students will be provided with critical skills to meaningfully analyse cultural texts, practices and spaces in relation to contemporary phenomena, cultural theory and their own everyday experiences. 

In particular, this course serves as a vital foundation for Arts and Culture Management students, as they will be offered an essential guide to the structures and factors that influence the production of culture in its diverse forms, and the meanings they offer to audiences and participants.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Electives, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - General Education, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
"Undergraduate","ACM","002","SOSS","Arts Leadership","As societies and nations begin to recognize the real value of the arts and as millions of dollars begin to be poured into the healthy life of the arts, serious questions about “leadership” begin to arise. Who leads when it comes to the arts? Why? How? Can a person lead in the arts without being an artist? Are there ideal leaders in this arena? To what extent are arts leaders motivated by considerations which go beyond the “bottom-line”? Why do authorities take a particular and sometimes a very specific interest in arts leaders? Is there an internationally-accepted template for arts leaders? What are the basic considerations which obtain when a leader in the arts is sought for? These and several other related issues will be explored in this module. Arts leaders will be brought to engage with the students and offer “real-life” examples of arts leadership.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - ACM201","Yes"
"Undergraduate","ACM","004","SOSS","Advanced Arts and Cultural Management","What challenges and transformations do arts and cultural organisations face today? What is the position and function of arts and cultural organisations in a time of growing global complexity, unpredictability and austerity? How can arts and cultural organisations effectively recognise, prepare for, and confront institutional limitations, tectonic shifts and disruptions, and socio-political challenges? What factors and strategies are crucial to ensure the sustainability of arts and cultural organisations? How can the conditions for artistic and cultural production be shaped and improved, and what are the friction points and communicative challenges? 
 
This course critically explores the concepts, processes and practices behind strategic planning and decision-making in arts and cultural organisations today. Through analysing real-world scenarios and proposing concrete solutions, students will be introduced to key issues affecting arts and cultural management, including governance, organisational structures, operational considerations, industry and community needs, and resource allocation.
 
Upon completing this course, students should possess the strategic foresight and reflexivity to identify and respond to potential barriers, opportunities and signals of change for arts and culture, as well as develop the competencies required to be astute arts and cultural managers. 

It is advisable for students to take this as a final year course.","-","-","GRD - Graded","AREA - Arts and Culture Management Core, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCP - ACM001/002/003","Yes"
"Undergraduate","ACM","005","SOSS","Arts and Culture Management Industry Project","This course provides final year ACM students with the opportunity to deepen and demonstrate mastery of one specialised area pertinent to arts and culture management. The course will provide a research and practical framework to enable students to conceptualise and develop their own project topics. Through close consultation, students will develop and produce an individual and in-depth project on a particular aspect of arts and culture management. The format of the project is flexible but a minimum of 50% of the work must involve research study.  
 
Ideally, students should be in their final year, and are advised to take ACM004 before taking ACM005.","Contact RO","Disciplinary knowledge","GRD - Graded","AREA - Arts & Culture Mgmt Electives, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - Open to Undergraduates only","No"
"Undergraduate","ACM","103","SOSS","Special Topics in Arts and Culture Management (Society and Industry)","This is a special topic course and the selected topic, which may vary from year to year, will be taught by visiting academics and artists. The course will provide students an opportunity to have a more in-depth understanding of selected issues in arts and culture management in society and industry.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Electives, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
"Undergraduate","ACM","105","SOSS","Artistic Traditions in China","Artistic achievement in China constitutes one of most significant cultural components in the global history even today. Using recent excavations, historical texts, and pieces from major Chinese art collections around the world, this course provides an overview of 5000 years of Chinese art. Through studying the art and culture of the pre-historic and the Bronze Age, and painting, calligraphy, religious sculpture, architecture, jade, bronze, gold, ceramics and glass throughout the centuries, students will come to understand the special characteristics and historical development of Chinese arts and culture over the centuries. In addition, students will also understand place of Confucianism, Taoism and Buddhism in the art and life of Chinese people. Artistic exchange between China and its neighbouring countries will be given special attention. Furthermore, ancestral connections of Chinese art and culture in Singapore and the relationship between China, Southeast Asia and the pan-Asian region reflected in Chinese arts will also be addressed in the lectures.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - General Educatn (Not Appl for Intake 2015 onwards), AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
"Undergraduate","ACM","201","SOSS","Introduction to Performing Arts Management","This module is designed as a practical foundation and aims to provide students with a working knowledge of key processes, practices and principles within performing arts management and the established industry conventions. Through a unique blend of conceptual frameworks, professional insight and experiential learning, students will gain insights into the practical and conceptual competencies required to produce, troubleshoot and sustain live productions; from formalistic considerations, operational models to institutional arrangements and related arts management principles. In particular, students will actively engage with the empirical challenges and operational issues faced by arts managers in the performing arts in Singapore today, so as to illuminate how they inform our sense of value, experiences of live productions, shifting audience behavior and culture in deep, surprising ways. 

Ultimately, this module is aimed at enabling the Arts and Culture Management student in cultivating the competencies required to discern, address and enhance new needs required to envision and shape the future of cultural work in the performing arts. To equip students with specialised conceptual and practical grounding, each run of this module will embark on a more focused study of a particular field within the performing arts in Singapore.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Electives, AREA - Business Options, AREA - Business-Oriented Electives, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP, RQCX - ACM002","Yes"
"Undergraduate","ACM","202","SOSS","Introduction to Event/Festival Management","The course aims to introduce students on the origin of events, festival and MICE lie in village and tribal celebrations of the art and cultural traditions of the community, and learn how identity is made through public expression so that others will learn about the community and its interest. It is an introduction to the essential aspects of event planning and staging where management theories of creativity, management and operations management  are put into practice.","-","-","GRD - Graded","AREA - Arts & Culture Mgmt Major, AREA - Business Options, AREA - Business-Oriented Electives/IS Options, AREA - Econ Major Rel/Econ Options, AREA - Social Sciences/PLE Major-related, ENRL - SS Enrolment: 6 ISEP; 1 SUSEP","No"
